783	-687
360	-973
448	-230
-79	-728
668	-318
-703	-202
-584	-967
-753	749
-416	-273
869	-421
679	-996
375	897
-348	-330
413	-683
-689	-788
396	-71
359	-986
433	107
-971	481
-795	160
620	-509
698	-437
658	855
365	943
730	-815
616	770
470	-229
493	309
-904	-219
-799	994
963	-660
-616	-495
-699	600
-421	-502
906	-82
-1014	-551
107	853
679	-841
93	-890
-153	-788
621	248
442	583
-701	258
970	82
-733	869
515	438
-884	390
903	959
-258	876
716	-38
-529	-44
-662	-433
963	-395
-441	752
387	-658
-243	359
-592	548
148	-551
529	-238
-229	-965
113	-453
381	-419
429	-343
-372	-56
-59	-974
987	-272
-598	420
-343	-314
-256	985
-582	-459
-51	679
158	414
-493	-865
-174	-653
60	477
-6	-611
79	-369
-418	-119
897	-104
-320	486
735	-214
665	-857
134	451
856	-489
656	-110
-385	545
579	-423
-728	832
729	615
-8	-464
889	-160
643	95
80	-843
787	322
-2	639
135	759
198	-730
-361	750
227	-794
912	61
-232	255
-170	-513
-918	-886
592	645
-140	-865
390	-927
310	-353
449	-576
-247	-318
219	-281
298	-284
-369	1023
1023	895
158	960
490	-353
-950	-853
-601	979
656	98
-737	290
-285	-767
-361	-417
-959	961
-421	-633
970	-906
-705	-861
-23	71
268	-122
122	103
-107	632
-185	15
-760	834
117	-545
-322	149
105	966
-989	302
586	362
354	-114
803	-1000
-872	357
763	165
570	833
-293	167
703	939
301	-984
-385	20
146	-566
592	-291
-960	433
-516	-521
-764	-606
-262	992
591	293
325	-207
438	838
-240	-605
308	297
434	-207
925	157
-255	638
627	-158
-1010	-615
744	636
-763	8
-884	-611
594	6
946	-782
732	-340
963	-502
1018	850
372	167
-1008	223
734	525
-472	-180
-611	-964
-187	-869
521	492
35	730
898	-209
-886	787
-802	-179
-593	-529
389	150
-277	372
-355	-646
-588	-868
348	-592
768	-905
-616	-707
132	130
-798	-821
-258	-343
255	-408
-536	-720
113	-700
608	-429
343	-729
844	-816
-862	258
626	758
-44	388
-373	-864
466	425
-513	-720
-560	-834
429	-145
1014	-895
801	-806
832	-971
-581	332
101	932
-360	626
700	-145
-660	31
-468	956
972	85
964	923
-689	73
-310	528
505	185
-413	559
223	1022
741	-191
-440	899
472	995
-469	-474
576	937
901	32
-338	-449
697	-1017
-666	732
-205	99
-1002	984
999	520
-437	-139
-796	-485
907	280
-812	390
-875	535
290	156
-585	223
406	-643
-746	-658
-467	113
-29	70
-1003	-916
-986	612
-528	-772
-495	-46
-12	-759
-743	-48
-919	-678
875	-101
190	46
907	-748
744	1014
293	1018
191	194
849	-104
-822	882
726	-976
121	-167
-211	-177
-683	-341
-869	1000
840	676
-43	-70
-110	-628
-385	418
-210	-860
-220	-66
-270	-96
-706	378
-537	885
-764	-660
146	-988
-650	-163
-202	-1013
-642	540
804	330
-75	-823
224	867
-97	-98
26	883
654	-31
-834	628
541	399
270	662
-342	246
15	-54
838	339
602	-255
-293	981
630	-404
-453	-944
552	197
518	-1013
-248	504
-8	-382
188	934
490	-914
-937	-588
-419	665
-594	-793
-55	-892
270	-652
891	-657
-237	-565
-672	-217
225	810
-1021	213
-993	943
-144	-22
170	747
-566	-703
-421	703
-902	189
-237	-235
-891	432
493	-733
-1018	-556
-356	-760
360	634
-859	-160
452	570
906	871
114	580
-247	124
-954	-138
196	315
-268	-66
981	717
-193	-872
42	-756
-372	565
977	818
114	497
-271	-925
-178	-298
-20	-80
-977	-937
-598	140
825	-655
-531	889
-828	190
-618	-452
713	484
591	-649
471	-473
-679	-112
-508	814
-477	341
-461	-808
908	-591
-963	-245
749	353
-182	91
856	-527
-434	-560
-120	977
-583	-717
-610	-420
-694	-41
268	-891
-706	-268
313	804
1012	-573
664	-287
-238	-837
-389	331
260	263
339	803
378	-302
94	-411
-893	-883
774	-204
-379	-442
-704	-355
328	-169
-540	-101
-220	-991
-748	-1023
126	9
984	-547
580	-947
901	1013
155	504
395	-582
-237	-394
-323	661
-107	-830
363	-379
894	-532
673	360
713	781
236	-387
-113	875
586	149
-99	-72
-207	130
978	-336
734	-77
21	784
-531	192
-714	-21
-549	-947
-359	26
623	352
-320	998
-864	491
-700	-788
-921	-766
270	-48
-373	713
825	-857
-567	843
936	-851
-533	496
-661	782
22	-127
692	368
789	884
998	-241
-315	-173
879	394
17	555
-597	-570
97	336
606	-327
-273	650
640	809
-803	-859
752	-886
436	-56
-670	515
-252	-972
455	-336
-822	617
419	747
-835	562
-171	-482
876	-320
-337	-605
192	907
-669	21
-340	267
-541	208
521	869
661	-811
-492	402
-855	-663
992	263
939	-810
-298	595
-13	-476
521	-181
520	-742
-987	28
952	-930
122	299
-1003	-622
343	-402
-978	-250
-799	553
417	-239
932	-964
910	364
-532	-757
-133	668
-283	-165
